Training_Length,Hidden_Neurons,Avg_Test_Loss,Std_Test_Loss,Min_Test_Loss,Max_Test_Loss,Avg_Test_Acc,Std_Test_Acc,Min_Test_Acc,Max_Test_Acc
16,"(2,)",0.16565361768007278,0.037735093948466344,0.11072671413421631,0.24117634445428848,0.7,0.18708286933869706,0.5,1.0
16,"(4,)",0.12579150982201098,0.06481408307196465,0.02304663509130478,0.21483981609344482,0.875,0.16770509831248423,0.5,1.0
16,"(8,)",0.07313415948301553,0.05223723635662788,0.03180171363055706,0.22142261266708374,0.95,0.15,0.5,1.0
32,"(2,)",0.1557472674176097,0.033609826802973405,0.07092609070241451,0.21201930195093155,0.675,0.16007810593582122,0.5,1.0
32,"(4,)",0.07447873950004577,0.05888840690731995,0.03061189502477646,0.24457940459251404,0.95,0.15,0.5,1.0
32,"(8,)",0.07650538003072142,0.027937032166000467,0.032347978092730045,0.12782378122210503,1.0,0.0,1.0,1.0
64,"(2,)",0.0742173036094755,0.07997068195951522,0.007737238192930818,0.24834775924682617,0.825,0.225,0.5,1.0
64,"(4,)",0.02605514068854973,0.038872180254436596,0.00531861768104136,0.13748066127300262,0.975,0.075,0.75,1.0
64,"(8,)",0.00698647138196975,0.0018739649441593112,0.004806924029253423,0.011954146204516292,1.0,0.0,1.0,1.0
